client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1754491852341,1754491852,KXMLBGAME-25AUG06MINDET-DET,63,37,30,yes
1754491866752,1754491866,KXMLBGAME-25AUG06CWSSEA-SEA,71,29,1,yes
1754491876909,1754491876,KXMLBGAME-25AUG06STLLAD-STL,34,66,36,yes
1754491883378,1754491883,KXMLBGAME-25AUG06SDAZ-AZ,43,57,22,yes
1754491896889,1754491896,KXMLBGAME-25AUG06CLENYM-NYM,61,39,462,no
1754491904668,1754491904,KXMLBGAME-25AUG06HOUMIA-MIA,52,48,10,yes
1754491925719,1754491925,KXMLBGAME-25AUG06BALPHI-BAL,39,61,24,yes
1754491948601,1754491948,KXMLBGAME-25AUG06CLENYM-NYM,63,37,1,yes
1754491957690,1754491957,KXMLBGAME-25AUG06SFPIT-SF,59,41,288,yes
1754491957962,1754491957,KXMLBGAME-25AUG06CINCHC-CIN,45,55,10,yes
1754491994969,1754491994,KXMLBGAME-25AUG06SFPIT-SF,59,41,28,yes
1754491998260,1754491998,KXMLBGAME-25AUG06NYYTEX-TEX,44,56,21,no
1754492024741,1754492024,KXMLBGAME-25AUG06BALPHI-PHI,62,38,603,yes
1754492024741,1754492024,KXMLBGAME-25AUG06BALPHI-PHI,62,38,165,yes
1754492031358,1754492031,KXMLBGAME-25AUG06NYYTEX-NYY,56,44,475,yes
1754492043088,1754492043,KXMLBGAME-25AUG06MILATL-MIL,45,55,37,yes
1754492083008,1754492082,KXMLBGAME-25AUG06STLLAD-LAD,67,33,26,yes
1754492109549,1754492109,KXMLBGAME-25AUG06BALPHI-PHI,62,38,28,yes
1754492113051,1754492113,KXMLBGAME-25AUG06TORCOL-TOR,67,33,71,yes
1754492127609,1754492127,KXMLBGAME-25AUG06SFPIT-SF,59,41,16,yes
1754492138367,1754492138,KXMLBGAME-25AUG06SFPIT-SF,59,41,131,yes
1754492143859,1754492143,KXMLBGAME-25AUG06MINDET-DET,63,37,1812,yes
1754492182316,1754492182,KXMLBGAME-25AUG06BALPHI-PHI,62,38,37,yes
1754492188318,1754492188,KXMLBGAME-25AUG06SFPIT-PIT,41,59,57,yes
1754492202838,1754492202,KXMLBGAME-25AUG06SDAZ-SD,57,43,15,yes
1754492203769,1754492203,KXMLBGAME-25AUG06MINDET-DET,63,37,2,yes
1754492215176,1754492214,KXMLBGAME-25AUG06BALPHI-PHI,62,38,16,yes
1754492215176,1754492214,KXMLBGAME-25AUG06BALPHI-PHI,63,37,50,yes
1754492229449,1754492229,KXMLBGAME-25AUG06MILATL-MIL,45,55,400,yes
1754492257538,1754492257,KXMLBGAME-25AUG06BALPHI-PHI,63,37,77,yes
1754492271318,1754492271,KXMLBGAME-25AUG06SFPIT-SF,59,41,82,yes
1754492271448,1754492271,KXMLBGAME-25AUG06SFPIT-PIT,41,59,87,yes
1754492271658,1754492271,KXMLBGAME-25AUG06SFPIT-SF,59,41,8,yes
1754492273138,1754492273,KXMLBGAME-25AUG06MINDET-MIN,37,63,2,yes
1754492283676,1754492283,KXMLBGAME-25AUG06MINDET-DET,63,37,77,yes
1754492285850,1754492285,KXMLBGAME-25AUG06CLENYM-NYM,63,37,7,yes
1754492294933,1754492294,KXMLBGAME-25AUG06CLENYM-NYM,63,37,77,yes
1754492301534,1754492301,KXMLBGAME-25AUG06MINDET-DET,63,37,7,yes
1754492305924,1754492305,KXMLBGAME-25AUG06CINCHC-CHC,56,44,86,yes
1754492309872,1754492309,KXMLBGAME-25AUG06NYYTEX-TEX,45,55,42,yes
1754492315963,1754492315,KXMLBGAME-25AUG06NYYTEX-NYY,56,44,86,yes
1754492316121,1754492316,KXMLBGAME-25AUG06TORCOL-TOR,67,33,266,yes
1754492317425,1754492317,KXMLBGAME-25AUG06CINCHC-CHC,56,44,8,yes
1754492325863,1754492325,KXMLBGAME-25AUG06TORCOL-TOR,67,33,72,yes
1754492326512,1754492326,KXMLBGAME-25AUG06NYYTEX-TEX,45,55,42,yes
