client_ts,market_ticker,seq,price,delta,side,msg_type
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,1,1000,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,2,300,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,4,200,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,5,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,7,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,14,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,17,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,39,1493,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,40,5852,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,41,6157,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,42,5525,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,43,852,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,1,1000,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,2,2300,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,4,200,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,16,100,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,20,100,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,25,100,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,27,100,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,51,3000,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,52,3000,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,53,3472,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,54,8231,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,55,6296,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-ARI,1,56,326,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,1,1000,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,2,300,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,4,200,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,5,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,7,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,14,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,17,100,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,51,648,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,52,648,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,53,2181,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,54,7731,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,55,5648,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,56,340,yes,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,1,1000,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,2,2300,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,4,200,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,16,100,no,snapshot
1753793660978,KXMLBGAME-25JUL29ARIDET-DET,2,20,100,no,snapshot
