client_ts,market_ticker,seq,price,delta,side,msg_type
1753963201001,KXMLBGAME-25JUL31ATLCIN-ATL,7,1,1000,yes,delta
1753963201103,KXMLBGAME-25JUL31ATLCIN-ATL,8,1,1000,no,delta
1753963201264,KXMLBGAME-25JUL31ATLCIN-CIN,9,1,1000,yes,delta
1753963201514,KXMLBGAME-25JUL31ATLCIN-CIN,10,1,1000,no,delta
1753963201592,KXMLBGAME-25JUL31TEXSEA-TEX,11,1,1000,yes,delta
1753963201783,KXMLBGAME-25JUL31TEXSEA-TEX,12,1,1000,no,delta
1753963202333,KXMLBGAME-25JUL31TEXSEA-SEA,13,1,1000,yes,delta
1753963202640,KXMLBGAME-25JUL31TEXSEA-SEA,14,1,1000,no,delta
1753963203050,KXMLBGAME-25JUL31TBNYY-TB,15,1,1000,yes,delta
1753963203104,KXMLBGAME-25JUL31TBNYY-TB,16,1,1000,no,delta
1753963203314,KXMLBGAME-25JUL31TBNYY-NYY,17,1,1000,yes,delta
1753963203635,KXMLBGAME-25JUL31TBNYY-NYY,18,1,1000,no,delta
1753963203970,KXMLBGAME-25JUL31ATLCIN-ATL,19,2,300,yes,delta
1753963204054,KXMLBGAME-25JUL31ATLCIN-ATL,20,2,300,no,delta
1753963204333,KXMLBGAME-25JUL31ATLCIN-CIN,21,2,300,yes,delta
1753963204688,KXMLBGAME-25JUL31ATLCIN-CIN,22,2,300,no,delta
1753963204876,KXMLBGAME-25JUL31TEXSEA-TEX,23,2,300,yes,delta
1753963205216,KXMLBGAME-25JUL31TEXSEA-TEX,24,2,300,no,delta
1753963205610,KXMLBGAME-25JUL31TEXSEA-SEA,25,2,300,yes,delta
1753963205917,KXMLBGAME-25JUL31TEXSEA-SEA,26,2,300,no,delta
1753963206107,KXMLBGAME-25JUL31TBNYY-TB,27,2,300,yes,delta
1753963206428,KXMLBGAME-25JUL31TBNYY-TB,28,2,300,no,delta
1753963206676,KXMLBGAME-25JUL31TBNYY-NYY,29,2,300,yes,delta
1753963206978,KXMLBGAME-25JUL31TBNYY-NYY,30,2,300,no,delta
1753963207350,KXMLBGAME-25JUL31ATLCIN-ATL,31,4,200,yes,delta
1753963207626,KXMLBGAME-25JUL31ATLCIN-ATL,32,5,100,yes,delta
1753963207965,KXMLBGAME-25JUL31ATLCIN-ATL,33,4,200,no,delta
1753963208271,KXMLBGAME-25JUL31ATLCIN-CIN,34,4,200,yes,delta
1753963208484,KXMLBGAME-25JUL31ATLCIN-CIN,35,5,100,yes,delta
1753963208753,KXMLBGAME-25JUL31ATLCIN-CIN,36,4,200,no,delta
1753963209047,KXMLBGAME-25JUL31TEXSEA-TEX,37,4,200,yes,delta
1753963209398,KXMLBGAME-25JUL31TEXSEA-TEX,38,5,100,yes,delta
1753963209594,KXMLBGAME-25JUL31TEXSEA-TEX,39,4,200,no,delta
1753963209911,KXMLBGAME-25JUL31TBNYY-TB,40,3,1500,no,delta
1753963209911,KXMLBGAME-25JUL31TEXSEA-SEA,41,4,200,yes,delta
1753963209984,KXMLBGAME-25JUL31TBNYY-TB,42,2,3000,no,delta
1753963210088,KXMLBGAME-25JUL31TBNYY-TB,43,1,3000,no,delta
1753963210154,KXMLBGAME-25JUL31TEXSEA-SEA,44,5,100,yes,delta
1753963210205,KXMLBGAME-25JUL31TBNYY-TB,45,3,750,yes,delta
1753963210337,KXMLBGAME-25JUL31TBNYY-TB,46,2,750,yes,delta
