client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1754397372700,1754397372,KXMLBGAME-25AUG05CINCHC-CIN,39,61,98,yes
1754397382302,1754397382,KXMLBGAME-25AUG05BALPHI-BAL,46,54,1301,yes
1754397382302,1754397382,KXMLBGAME-25AUG05BALPHI-BAL,46,54,899,yes
1754397388775,1754397388,KXMLBGAME-25AUG05CINCHC-CIN,39,61,2,yes
1754397393693,1754397393,KXMLBGAME-25AUG05SFPIT-SF,59,41,32,yes
1754397397069,1754397396,KXMLBGAME-25AUG05STLLAD-STL,39,61,110,yes
1754397422403,1754397422,KXMLBGAME-25AUG05NYYTEX-TEX,57,43,1,yes
1754397479122,1754397479,KXMLBGAME-25AUG05SFPIT-SF,59,41,247,yes
1754397483733,1754397483,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397489764,1754397489,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397495988,1754397495,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397501825,1754397501,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397508073,1754397507,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397516964,1754397516,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397523257,1754397523,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397529083,1754397529,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397533442,1754397533,KXMLBGAME-25AUG05SFPIT-PIT,43,57,4,yes
1754397535232,1754397535,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397541046,1754397540,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397550425,1754397550,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397556375,1754397556,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397561115,1754397561,KXMLBGAME-25AUG05SFPIT-PIT,43,57,11,yes
1754397562463,1754397562,KXMLBGAME-25AUG05HOUMIA-MIA,55,45,10,no
1754397642485,1754397642,KXMLBGAME-25AUG05HOUMIA-MIA,57,43,8,yes
1754397648740,1754397648,KXMLBGAME-25AUG05STLLAD-LAD,63,37,1547,yes
