client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753279033732,1753279033,KXMLBGAME-25JUL23SDMIA-SD,59,41,2908,yes
1753279058273,1753279058,KXMLBGAME-25JUL23SFATL-SF,39,61,87,no
1753279058552,1753279058,KXMLBGAME-25JUL23SDMIA-SD,59,41,1983,yes
1753279059532,1753279059,KXMLBGAME-25JUL23MINLAD-MIN,34,66,16,no
1753279077593,1753279077,KXMLBGAME-25JUL23DETPIT-DET,56,44,15,yes
1753279114312,1753279114,KXMLBGAME-25JUL23MINLAD-LAD,66,34,1,yes
1753279123895,1753279123,KXMLBGAME-25JUL23CINWSH-CIN,54,46,29,yes
1753279155976,1753279155,KXMLBGAME-25JUL23NYYTOR-NYY,57,43,43,yes
1753279178292,1753279178,KXMLBGAME-25JUL23SFATL-SF,39,61,104,no
1753279198011,1753279197,KXMLBGAME-25JUL23CINWSH-CIN,54,46,175,yes
1753279208335,1753279208,KXMLBGAME-25JUL23CINWSH-CIN,54,46,17,yes
1753279210715,1753279210,KXMLBGAME-25JUL23DETPIT-DET,56,44,72,yes
1753279214034,1753279213,KXMLBGAME-25JUL23SDMIA-SD,60,40,3,yes
1753279214648,1753279214,KXMLBGAME-25JUL23STLCOL-STL,63,37,23,yes
1753279233293,1753279233,KXMLBGAME-25JUL23LAANYM-LAA,39,61,4,yes
1753279250754,1753279250,KXMLBGAME-25JUL23CINWSH-WSH,47,53,40,yes
1753279260854,1753279260,KXMLBGAME-25JUL23BOSPHI-PHI,59,41,1,yes
1753279275413,1753279275,KXMLBGAME-25JUL23NYYTOR-NYY,57,43,1,yes
1753279312714,1753279312,KXMLBGAME-25JUL23SDMIA-SD,60,40,32,yes
1753279327352,1753279327,KXMLBGAME-25JUL23CINWSH-CIN,54,46,35,yes
1753279341733,1753279341,KXMLBGAME-25JUL23SFATL-ATL,61,39,31,yes
1753279387091,1753279386,KXMLBGAME-25JUL23MILSEA-MIL,45,55,94,yes
1753279414739,1753279414,KXMLBGAME-25JUL23CINWSH-CIN,54,46,53,yes
1753279418732,1753279418,KXMLBGAME-25JUL23DETPIT-PIT,45,55,17,yes
1753279418916,1753279418,KXMLBGAME-25JUL23STLCOL-STL,63,37,61,yes
1753279437472,1753279437,KXMLBGAME-25JUL23MINLAD-MIN,35,65,54,yes
1753279450050,1753279449,KXMLBGAME-25JUL23DETPIT-PIT,45,55,331,yes
1753279484352,1753279484,KXMLBGAME-25JUL23SDMIA-MIA,41,59,40,yes
1753279489534,1753279489,KXMLBGAME-25JUL23SDMIA-SD,59,41,87,no
1753279513674,1753279513,KXMLBGAME-25JUL23CINWSH-CIN,54,46,25,yes
1753279526313,1753279526,KXMLBGAME-25JUL23SDMIA-SD,58,42,3000,no
1753279526313,1753279526,KXMLBGAME-25JUL23SDMIA-SD,58,42,1286,no
1753279526313,1753279526,KXMLBGAME-25JUL23SDMIA-SD,58,42,87,no
1753279526313,1753279526,KXMLBGAME-25JUL23SDMIA-SD,58,42,627,no
1753279533007,1753279532,KXMLBGAME-25JUL23SFATL-ATL,61,39,25,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,54,46,503,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,54,46,10,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,54,46,10,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,54,46,265,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,55,45,238,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,55,45,41,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,55,45,313,yes
1753279535758,1753279535,KXMLBGAME-25JUL23CINWSH-CIN,55,45,242,yes
1753279539392,1753279539,KXMLBGAME-25JUL23SDMIA-MIA,41,59,3570,yes
1753279541894,1753279541,KXMLBGAME-25JUL23SFATL-ATL,61,39,40,yes
1753279547973,1753279547,KXMLBGAME-25JUL23CINWSH-CIN,55,45,35,yes
1753279567617,1753279567,KXMLBGAME-25JUL23BALCLE-BAL,47,53,20,yes
1753279573734,1753279573,KXMLBGAME-25JUL23LAANYM-NYM,62,38,23,yes
1753279579911,1753279579,KXMLBGAME-25JUL23HOUARI-ARI,53,47,548,yes
1753279589230,1753279589,KXMLBGAME-25JUL23BOSPHI-PHI,59,41,31,yes
1753279590771,1753279590,KXMLBGAME-25JUL23BALCLE-BAL,45,55,20,no
1753279594764,1753279594,KXMLBGAME-25JUL23DETPIT-DET,56,44,25,yes
1753279599575,1753279599,KXMLBGAME-25JUL23SDMIA-MIA,42,58,1244,yes
1753279599934,1753279599,KXMLBGAME-25JUL23DETPIT-PIT,45,55,40,yes
1753279602849,1753279602,KXMLBGAME-25JUL23DETPIT-PIT,45,55,80,yes
1753279607048,1753279606,KXMLBGAME-25JUL23KCCHC-CHC,58,42,33,yes
1753279630702,1753279630,KXMLBGAME-25JUL23CINWSH-WSH,47,53,2,yes
1753279647804,1753279647,KXMLBGAME-25JUL23SFATL-SF,40,60,47,yes
1753279655395,1753279655,KXMLBGAME-25JUL23SFATL-ATL,61,39,2,yes
1753279662958,1753279662,KXMLBGAME-25JUL23DETPIT-DET,56,44,19,yes
1753279667316,1753279667,KXMLBGAME-25JUL23LAANYM-LAA,39,61,40,yes
1753279671247,1753279671,KXMLBGAME-25JUL23CINWSH-CIN,55,45,35,yes
1753279673301,1753279673,KXMLBGAME-25JUL23CINWSH-CIN,55,45,5,yes
1753279679240,1753279679,KXMLBGAME-25JUL23SDMIA-SD,58,42,5,yes
1753279693433,1753279693,KXMLBGAME-25JUL23HOUARI-ARI,53,47,7,yes
1753279695873,1753279695,KXMLBGAME-25JUL23MINLAD-LAD,66,34,4,yes
1753279713743,1753279713,KXMLBGAME-25JUL23KCCHC-KC,42,58,40,yes
1753279723494,1753279723,KXMLBGAME-25JUL23KCCHC-CHC,58,42,54,yes
1753279723494,1753279723,KXMLBGAME-25JUL23KCCHC-CHC,58,42,17,yes
1753279808294,1753279808,KXMLBGAME-25JUL23NYYTOR-NYY,57,43,17,yes
1753279826675,1753279826,KXMLBGAME-25JUL23CINWSH-CIN,55,45,17,yes
1753279830757,1753279830,KXMLBGAME-25JUL23STLCOL-STL,63,37,40,yes
1753279831872,1753279831,KXMLBGAME-25JUL23DETPIT-DET,56,44,34,yes
1753279832095,1753279832,KXMLBGAME-25JUL23DETPIT-DET,56,44,25,yes
1753279838781,1753279838,KXMLBGAME-25JUL23CINWSH-WSH,47,53,16,yes
1753279848172,1753279847,KXMLBGAME-25JUL23BOSPHI-BOS,42,58,22,yes
1753279850659,1753279850,KXMLBGAME-25JUL23SDMIA-MIA,43,57,11,yes
1753279855717,1753279855,KXMLBGAME-25JUL23CINWSH-WSH,47,53,4,yes
1753279865743,1753279865,KXMLBGAME-25JUL23SDMIA-SD,58,42,16,yes
1753279866223,1753279866,KXMLBGAME-25JUL23MINLAD-LAD,66,34,14,yes
1753279880449,1753279880,KXMLBGAME-25JUL23MILSEA-MIL,45,55,17,yes
1753279887995,1753279887,KXMLBGAME-25JUL23SDMIA-MIA,43,57,4,yes
1753279901962,1753279901,KXMLBGAME-25JUL23SFATL-SF,40,60,26,yes
1753279902780,1753279902,KXMLBGAME-25JUL23SFATL-SF,40,60,19,yes
1753279903893,1753279903,KXMLBGAME-25JUL23LAANYM-NYM,62,38,15,yes
1753279907696,1753279907,KXMLBGAME-25JUL23CINWSH-CIN,55,45,26,yes
1753279935512,1753279935,KXMLBGAME-25JUL23STLCOL-COL,38,62,3,yes
1753279955473,1753279955,KXMLBGAME-25JUL23HOUARI-HOU,47,53,2,yes
1753279956336,1753279956,KXMLBGAME-25JUL23SDMIA-SD,58,42,25,yes
1753279956336,1753279956,KXMLBGAME-25JUL23SDMIA-SD,58,42,58,yes
1753279962493,1753279962,KXMLBGAME-25JUL23BOSPHI-BOS,42,58,272,yes
1753279962633,1753279962,KXMLBGAME-25JUL23BOSPHI-PHI,58,42,772,no
1753279975076,1753279974,KXMLBGAME-25JUL23MILSEA-MIL,45,55,3,yes
1753279975273,1753279975,KXMLBGAME-25JUL23SFATL-ATL,61,39,79,yes
1753279976920,1753279976,KXMLBGAME-25JUL23LAANYM-LAA,39,61,24,yes
1753279999959,1753279999,KXMLBGAME-25JUL23BALCLE-CLE,54,46,1,yes
1753280006026,1753280005,KXMLBGAME-25JUL23CINWSH-CIN,55,45,8,yes
1753280010711,1753280010,KXMLBGAME-25JUL23CINWSH-CIN,55,45,8,yes
1753280023112,1753280023,KXMLBGAME-25JUL23BOSPHI-BOS,43,57,2,yes
1753280026196,1753280026,KXMLBGAME-25JUL23CINWSH-CIN,55,45,115,yes
1753280041033,1753280040,KXMLBGAME-25JUL23CWSTB-CWS,35,65,4,yes
1753280051569,1753280051,KXMLBGAME-25JUL23DETPIT-DET,56,44,17,yes
1753280070853,1753280070,KXMLBGAME-25JUL23CINWSH-WSH,47,53,10,yes
1753280072056,1753280072,KXMLBGAME-25JUL23ATHTEX-ATH,45,55,3,yes
1753280080015,1753280079,KXMLBGAME-25JUL23ATHTEX-TEX,57,43,27,yes
1753280162059,1753280161,KXMLBGAME-25JUL23MILSEA-MIL,45,55,10,yes
1753280188993,1753280188,KXMLBGAME-25JUL23SDMIA-SD,58,42,13,yes
1753280189155,1753280189,KXMLBGAME-25JUL23SDMIA-SD,58,42,8,yes
