client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1754053534653,1754053534,KXMLBGAME-25AUG01BALCHC-BAL,43,57,11,yes
1754053541989,1754053541,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,10,yes
1754053552881,1754053552,KXMLBGAME-25AUG01LADTB-LAD,57,43,25,yes
1754053567217,1754053566,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,15,yes
1754053572351,1754053572,KXMLBGAME-25AUG01KCTOR-KC,42,58,6,yes
1754053576841,1754053576,KXMLBGAME-25AUG01MINCLE-CLE,54,46,179,yes
1754053586257,1754053586,KXMLBGAME-25AUG01CWSLAA-CWS,45,55,21,yes
1754053588413,1754053588,KXMLBGAME-25AUG01NYYMIA-MIA,42,58,228,yes
1754053602647,1754053602,KXMLBGAME-25AUG01DETPHI-PHI,59,41,164,yes
1754053607563,1754053607,KXMLBGAME-25AUG01PITCOL-PIT,57,43,17,yes
1754053613911,1754053613,KXMLBGAME-25AUG01TEXSEA-SEA,61,39,319,yes
1754053615408,1754053615,KXMLBGAME-25AUG01MILWSH-MIL,58,42,8,yes
1754053620152,1754053619,KXMLBGAME-25AUG01BALCHC-CHC,58,42,1,yes
1754053629476,1754053629,KXMLBGAME-25AUG01LADTB-LAD,57,43,255,yes
1754053631934,1754053631,KXMLBGAME-25AUG01LADTB-TB,45,55,21,yes
1754053657124,1754053656,KXMLBGAME-25AUG01STLSD-SD,62,38,3,yes
1754053658937,1754053658,KXMLBGAME-25AUG01DETPHI-DET,42,58,11,yes
1754053715082,1754053714,KXMLBGAME-25AUG01BALCHC-BAL,43,57,4,yes
1754053771096,1754053770,KXMLBGAME-25AUG01ARIATH-ARI,48,52,40,yes
1754053781950,1754053781,KXMLBGAME-25AUG01PITCOL-PIT,57,43,3,yes
1754053790655,1754053790,KXMLBGAME-25AUG01ATLCIN-CIN,57,43,8,yes
1754053793420,1754053793,KXMLBGAME-25AUG01TEXSEA-TEX,40,60,47,yes
1754053804172,1754053804,KXMLBGAME-25AUG01BALCHC-CHC,58,42,8,yes
1754053814291,1754053814,KXMLBGAME-25AUG01SFNYM-SF,44,56,4,yes
1754053871244,1754053871,KXMLBGAME-25AUG01SFNYM-NYM,57,43,3,yes
1754053895969,1754053895,KXMLBGAME-25AUG01MILWSH-MIL,58,42,8,yes
1754053903398,1754053903,KXMLBGAME-25AUG01STLSD-SD,62,38,78,yes
1754053913024,1754053912,KXMLBGAME-25AUG01DETPHI-DET,42,58,457,yes
1754053922752,1754053922,KXMLBGAME-25AUG01ATLCIN-CIN,57,43,40,yes
1754053956878,1754053956,KXMLBGAME-25AUG01KCTOR-TOR,59,41,810,yes
1754053957628,1754053957,KXMLBGAME-25AUG01NYYMIA-MIA,41,59,3,no
1754053957628,1754053957,KXMLBGAME-25AUG01NYYMIA-MIA,40,60,33,no
1754053957800,1754053957,KXMLBGAME-25AUG01LADTB-LAD,55,45,1000,no
1754053957800,1754053957,KXMLBGAME-25AUG01LADTB-LAD,55,45,333,no
1754053957968,1754053957,KXMLBGAME-25AUG01LADTB-TB,45,55,979,yes
1754053957969,1754053957,KXMLBGAME-25AUG01LADTB-TB,45,55,354,yes
1754053958739,1754053958,KXMLBGAME-25AUG01STLSD-STL,38,62,50,no
1754053958739,1754053958,KXMLBGAME-25AUG01STLSD-STL,38,62,1000,no
1754053958888,1754053958,KXMLBGAME-25AUG01STLSD-SD,62,38,919,yes
1754053958888,1754053958,KXMLBGAME-25AUG01STLSD-SD,62,38,131,yes
1754053979699,1754053979,KXMLBGAME-25AUG01ATLCIN-CIN,57,43,11,yes
1754053996071,1754053995,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,6,yes
1754054000678,1754054000,KXMLBGAME-25AUG01PITCOL-PIT,57,43,8,yes
1754054008870,1754054008,KXMLBGAME-25AUG01BALCHC-BAL,43,57,6,yes
1754054014391,1754054014,KXMLBGAME-25AUG01STLSD-SD,62,38,7,yes
1754054015538,1754054015,KXMLBGAME-25AUG01BALCHC-CHC,57,43,25,no
1754054031231,1754054031,KXMLBGAME-25AUG01SFNYM-NYM,57,43,3,yes
1754054041838,1754054041,KXMLBGAME-25AUG01NYYMIA-MIA,40,60,9,yes
1754054048201,1754054048,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,43,yes
1754054058740,1754054058,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,2,yes
1754054061401,1754054061,KXMLBGAME-25AUG01STLSD-STL,39,61,7,yes
1754054069878,1754054069,KXMLBGAME-25AUG01STLSD-STL,39,61,9,yes
1754054115980,1754054115,KXMLBGAME-25AUG01LADTB-TB,45,55,106,yes
1754054118542,1754054118,KXMLBGAME-25AUG01ATLCIN-ATL,44,56,174,yes
1754054145268,1754054145,KXMLBGAME-25AUG01PITCOL-PIT,57,43,21,yes
1754054153563,1754054153,KXMLBGAME-25AUG01BALCHC-BAL,43,57,178,yes
1754054181700,1754054181,KXMLBGAME-25AUG01ATLCIN-CIN,57,43,85,yes
1754054183764,1754054183,KXMLBGAME-25AUG01CWSLAA-CWS,45,55,21,yes
1754054187541,1754054187,KXMLBGAME-25AUG01MILWSH-WSH,43,57,44,yes
1754054190098,1754054190,KXMLBGAME-25AUG01HOUBOS-BOS,45,55,42,yes
1754054207788,1754054207,KXMLBGAME-25AUG01BALCHC-BAL,43,57,4,yes
1754054208158,1754054208,KXMLBGAME-25AUG01ATLCIN-ATL,43,57,22,yes
1754054211938,1754054211,KXMLBGAME-25AUG01ATLCIN-CIN,57,43,3,yes
