client_ts,market_ticker,seq,price,delta,side,msg_type
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,1,5219,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,2,1000,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,5,60,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,31,20,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,33,300,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,40,613,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,41,962,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,42,788,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,43,35,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,1,5000,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,2,1500,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,3,666,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,5,23,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,12,200,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,22,200,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,24,68,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,25,500,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,30,29,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,31,50,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,33,300,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,51,350,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,52,350,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,53,350,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,54,739,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-PUT,1,55,8116,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,1,5000,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,2,2000,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,5,160,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,31,30,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,32,250,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,33,300,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,50,1,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,53,575,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,54,764,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,55,604,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,56,155,yes,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,1,5178,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,2,1500,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,5,23,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,7,2000,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,8,250,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,12,200,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,22,200,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,24,68,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,25,500,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,31,30,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,36,10,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,37,250,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,38,275,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,39,1080,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,40,928,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,41,708,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,42,1010,no,snapshot
1758803250105,KXWTAMATCH-25SEP25YUAPUT-YUA,2,43,350,no,snapshot
1758803250130,KXWTAMATCH-25SEP25YUAPUT-PUT,3,33,-300,yes,delta
1758803250131,KXWTAMATCH-25SEP25YUAPUT-PUT,4,3,300,yes,delta
1758803250170,KXWTAMATCH-25SEP25YUAPUT-PUT,5,33,-300,no,delta
1758803250170,KXWTAMATCH-25SEP25YUAPUT-PUT,6,26,300,no,delta
1758803250175,KXWTAMATCH-25SEP25YUAPUT-PUT,7,55,-216,no,delta
1758803250518,KXWTAMATCH-25SEP25YUAPUT-PUT,8,3,-666,no,delta
1758803250543,KXWTAMATCH-25SEP25YUAPUT-PUT,9,3,666,no,delta
1758803251064,KXWTAMATCH-25SEP25YUAPUT-YUA,10,32,-250,yes,delta
1758803251064,KXWTAMATCH-25SEP25YUAPUT-YUA,11,37,-250,no,delta
1758803251168,KXWTAMATCH-25SEP25YUAPUT-YUA,12,33,-300,yes,delta
1758803251169,KXWTAMATCH-25SEP25YUAPUT-YUA,13,3,300,yes,delta
1758803251183,KXWTAMATCH-25SEP25YUAPUT-YUA,14,38,-275,no,delta
1758803251183,KXWTAMATCH-25SEP25YUAPUT-YUA,15,26,300,no,delta
1758803251783,KXWTAMATCH-25SEP25YUAPUT-PUT,16,32,250,yes,delta
1758803251789,KXWTAMATCH-25SEP25YUAPUT-PUT,17,32,250,no,delta
1758803251850,KXWTAMATCH-25SEP25YUAPUT-PUT,18,3,-300,yes,delta
1758803251850,KXWTAMATCH-25SEP25YUAPUT-PUT,19,33,300,yes,delta
1758803251885,KXWTAMATCH-25SEP25YUAPUT-PUT,20,26,-300,no,delta
1758803251885,KXWTAMATCH-25SEP25YUAPUT-PUT,21,33,300,no,delta
1758803252202,KXWTAMATCH-25SEP25YUAPUT-YUA,22,32,250,yes,delta
1758803252203,KXWTAMATCH-25SEP25YUAPUT-YUA,23,37,250,no,delta
1758803252274,KXWTAMATCH-25SEP25YUAPUT-YUA,24,3,-300,yes,delta
1758803252274,KXWTAMATCH-25SEP25YUAPUT-YUA,25,33,300,yes,delta
1758803252305,KXWTAMATCH-25SEP25YUAPUT-YUA,26,26,-300,no,delta
1758803252305,KXWTAMATCH-25SEP25YUAPUT-YUA,27,38,275,no,delta
1758803253044,KXWTAMATCH-25SEP25YUAPUT-PUT,28,32,-250,yes,delta
