client_ts,market_ticker,seq,price,delta,side,msg_type
1753876800556,KXMLBGAME-25JUL30LADCIN-LAD,31,1,1000,yes,delta
1753876800618,KXMLBGAME-25JUL30LADCIN-LAD,32,1,1000,no,delta
1753876800753,KXMLBGAME-25JUL30LADCIN-CIN,33,1,1000,yes,delta
1753876800892,KXMLBGAME-25JUL30LADCIN-CIN,34,1,1000,no,delta
1753876801063,KXMLBGAME-25JUL30PHICWS-PHI,35,1,1000,yes,delta
1753876801150,KXMLBGAME-25JUL30PHICWS-PHI,36,1,1000,no,delta
1753876801296,KXMLBGAME-25JUL30PHICWS-CWS,37,1,1000,yes,delta
1753876801463,KXMLBGAME-25JUL30PHICWS-CWS,38,1,1000,no,delta
1753876801615,KXMLBGAME-25JUL30WSHHOU-WSH,39,1,1000,yes,delta
1753876802092,KXMLBGAME-25JUL30WSHHOU-WSH,40,1,1000,no,delta
1753876802502,KXMLBGAME-25JUL30WSHHOU-HOU,41,1,1000,yes,delta
1753876802663,KXMLBGAME-25JUL30WSHHOU-HOU,42,1,1000,no,delta
1753876802948,KXMLBGAME-25JUL30COLCLE-COL,43,1,1000,yes,delta
1753876803320,KXMLBGAME-25JUL30COLCLE-COL,44,1,1000,no,delta
1753876803561,KXMLBGAME-25JUL30COLCLE-CLE,45,1,1000,yes,delta
1753876803775,KXMLBGAME-25JUL30COLCLE-CLE,46,1,1000,no,delta
1753876804037,KXMLBGAME-25JUL30TBNYY-TB,47,1,1000,yes,delta
1753876804244,KXMLBGAME-25JUL30TBNYY-TB,48,1,1000,no,delta
1753876804455,KXMLBGAME-25JUL30TBNYY-NYY,49,1,1000,yes,delta
1753876804652,KXMLBGAME-25JUL30TBNYY-NYY,50,1,1000,no,delta
1753876804959,KXMLBGAME-25JUL30SEAATH-SEA,51,1,1000,yes,delta
1753876805198,KXMLBGAME-25JUL30SEAATH-SEA,52,1,1000,no,delta
1753876805456,KXMLBGAME-25JUL30SEAATH-ATH,53,1,1000,yes,delta
1753876805855,KXMLBGAME-25JUL30SEAATH-ATH,54,1,1000,no,delta
1753876806046,KXMLBGAME-25JUL30NYMSD-SD,55,1,1000,yes,delta
1753876806393,KXMLBGAME-25JUL30NYMSD-SD,56,1,1000,no,delta
1753876806562,KXMLBGAME-25JUL30NYMSD-NYM,57,1,1000,yes,delta
1753876806905,KXMLBGAME-25JUL30NYMSD-NYM,58,1,1000,no,delta
1753876807078,KXMLBGAME-25JUL30CHCMIL-MIL,59,1,1000,yes,delta
1753876807417,KXMLBGAME-25JUL30CHCMIL-MIL,60,1,1000,no,delta
1753876807625,KXMLBGAME-25JUL30CHCMIL-CHC,61,1,1000,yes,delta
1753876807892,KXMLBGAME-25JUL30CHCMIL-CHC,62,1,1000,no,delta
1753876808236,KXMLBGAME-25JUL30ATLKC-KC,63,1,1000,yes,delta
1753876808414,KXMLBGAME-25JUL30ATLKC-KC,64,1,1000,no,delta
1753876808747,KXMLBGAME-25JUL30ATLKC-ATL,65,1,1000,yes,delta
1753876808863,KXMLBGAME-25JUL30ATLKC-ATL,66,1,1000,no,delta
1753876809101,KXMLBGAME-25JUL30PITSF-SF,67,1,1000,yes,delta
1753876809362,KXMLBGAME-25JUL30PITSF-SF,68,1,1000,no,delta
1753876809670,KXMLBGAME-25JUL30PITSF-PIT,69,1,1000,yes,delta
1753876809833,KXMLBGAME-25JUL30PITSF-PIT,70,1,1000,no,delta
1753876810181,KXMLBGAME-25JUL30MIASTL-STL,71,1,1000,yes,delta
1753876810284,KXMLBGAME-25JUL30MIASTL-STL,72,1,1000,no,delta
1753876810507,KXMLBGAME-25JUL30MIASTL-MIA,73,1,1000,yes,delta
1753876810796,KXMLBGAME-25JUL30MIASTL-MIA,74,1,1000,no,delta
1753876810950,KXMLBGAME-25JUL30TORBAL-TOR,75,1,1000,yes,delta
1753876811152,KXMLBGAME-25JUL30TORBAL-TOR,76,1,1000,no,delta
1753876811301,KXMLBGAME-25JUL30TORBAL-TOR,77,2,1500,no,delta
1753876811361,KXMLBGAME-25JUL30TORBAL-TOR,78,1,3000,no,delta
1753876811361,KXMLBGAME-25JUL30TORBAL-BAL,79,1,1000,yes,delta
1753876811472,KXMLBGAME-25JUL30TORBAL-TOR,80,2,750,yes,delta
1753876811577,KXMLBGAME-25JUL30TORBAL-TOR,81,1,750,yes,delta
1753876811577,KXMLBGAME-25JUL30TORBAL-BAL,82,1,1000,no,delta
1753876811683,KXMLBGAME-25JUL30TORBAL-BAL,83,1,750,yes,delta
1753876811789,KXMLBGAME-25JUL30TORBAL-TOR,84,3,1500,no,delta
1753876811792,KXMLBGAME-25JUL30TEXLAA-TEX,85,1,1000,yes,delta
1753876811897,KXMLBGAME-25JUL30TORBAL-TOR,86,2,1500,no,delta
1753876812001,KXMLBGAME-25JUL30TORBAL-TOR,87,3,750,yes,delta
1753876812040,KXMLBGAME-25JUL30TEXLAA-TEX,88,1,1000,no,delta
1753876812112,KXMLBGAME-25JUL30TORBAL-BAL,89,2,1500,no,delta
1753876812214,KXMLBGAME-25JUL30TORBAL-BAL,90,1,3000,no,delta
1753876812299,KXMLBGAME-25JUL30TEXLAA-LAA,91,1,1000,yes,delta
1753876812315,KXMLBGAME-25JUL30TORBAL-BAL,92,2,750,yes,delta
1753876812420,KXMLBGAME-25JUL30TORBAL-TOR,93,4,1500,no,delta
1753876812519,KXMLBGAME-25JUL30TORBAL-TOR,94,3,1500,no,delta
1753876812536,KXMLBGAME-25JUL30TEXLAA-LAA,95,1,1000,no,delta
1753876812619,KXMLBGAME-25JUL30TORBAL-TOR,96,4,750,yes,delta
1753876812722,KXMLBGAME-25JUL30TORBAL-BAL,97,3,1500,no,delta
1753876812767,KXMLBGAME-25JUL30BOSMIN-MIN,98,1,1000,yes,delta
1753876812834,KXMLBGAME-25JUL30TORBAL-BAL,99,2,1500,no,delta
1753876812938,KXMLBGAME-25JUL30TORBAL-BAL,100,3,750,yes,delta
1753876813003,KXMLBGAME-25JUL30BOSMIN-MIN,101,1,1000,no,delta
1753876813040,KXMLBGAME-25JUL30TORBAL-TOR,102,5,1500,no,delta
1753876813114,KXMLBGAME-25JUL30BOSMIN-MIN,103,2,1500,no,delta
1753876813147,KXMLBGAME-25JUL30TORBAL-TOR,104,4,1500,no,delta
1753876813220,KXMLBGAME-25JUL30BOSMIN-MIN,105,1,3000,no,delta
1753876813253,KXMLBGAME-25JUL30TORBAL-TOR,106,5,750,yes,delta
1753876813253,KXMLBGAME-25JUL30BOSMIN-BOS,107,1,1000,yes,delta
1753876813322,KXMLBGAME-25JUL30BOSMIN-MIN,108,2,750,yes,delta
1753876813360,KXMLBGAME-25JUL30TORBAL-BAL,109,4,1500,no,delta
1753876813424,KXMLBGAME-25JUL30BOSMIN-MIN,110,1,750,yes,delta
1753876813454,KXMLBGAME-25JUL30TORBAL-BAL,111,3,1500,no,delta
1753876813468,KXMLBGAME-25JUL30BOSMIN-BOS,112,1,1000,no,delta
1753876813526,KXMLBGAME-25JUL30BOSMIN-BOS,113,1,750,yes,delta
1753876813563,KXMLBGAME-25JUL30TORBAL-BAL,114,4,750,yes,delta
1753876813629,KXMLBGAME-25JUL30BOSMIN-MIN,115,3,1500,no,delta
1753876813677,KXMLBGAME-25JUL30TORBAL-TOR,116,1,-3000,no,delta
1753876813689,KXMLBGAME-25JUL30ARIDET-DET,117,1,1000,yes,delta
1753876813726,KXMLBGAME-25JUL30BOSMIN-MIN,118,2,1500,no,delta
1753876813779,KXMLBGAME-25JUL30TORBAL-TOR,119,6,1500,no,delta
1753876813827,KXMLBGAME-25JUL30BOSMIN-MIN,120,3,750,yes,delta
1753876813882,KXMLBGAME-25JUL30TORBAL-TOR,121,5,1500,no,delta
1753876813914,KXMLBGAME-25JUL30ARIDET-DET,122,1,1000,no,delta
1753876813935,KXMLBGAME-25JUL30BOSMIN-BOS,123,2,1500,no,delta
1753876813983,KXMLBGAME-25JUL30TORBAL-TOR,124,1,-750,yes,delta
1753876814035,KXMLBGAME-25JUL30BOSMIN-BOS,125,1,3000,no,delta
1753876814088,KXMLBGAME-25JUL30TORBAL-TOR,126,6,750,yes,delta
1753876814132,KXMLBGAME-25JUL30ARIDET-ARI,127,1,1000,yes,delta
1753876814140,KXMLBGAME-25JUL30BOSMIN-BOS,128,2,750,yes,delta
1753876814191,KXMLBGAME-25JUL30TORBAL-BAL,129,5,1500,no,delta
1753876814242,KXMLBGAME-25JUL30BOSMIN-MIN,130,4,1500,no,delta
1753876814289,KXMLBGAME-25JUL30TORBAL-BAL,131,4,1500,no,delta
1753876814347,KXMLBGAME-25JUL30ARIDET-ARI,132,1,1000,no,delta
1753876814347,KXMLBGAME-25JUL30BOSMIN-MIN,133,3,1500,no,delta
1753876814391,KXMLBGAME-25JUL30TORBAL-BAL,134,5,750,yes,delta
1753876814450,KXMLBGAME-25JUL30BOSMIN-MIN,135,4,750,yes,delta
1753876814497,KXMLBGAME-25JUL30TORBAL-TOR,136,2,-1500,no,delta
1753876814498,KXMLBGAME-25JUL30TORBAL-TOR,137,2,-1500,no,delta
1753876814548,KXMLBGAME-25JUL30BOSMIN-BOS,138,3,1500,no,delta
1753876814566,KXMLBGAME-25JUL30LADCIN-LAD,139,2,300,yes,delta
1753876814603,KXMLBGAME-25JUL30TORBAL-TOR,140,7,1500,no,delta
1753876814653,KXMLBGAME-25JUL30BOSMIN-BOS,141,2,1500,no,delta
1753876814706,KXMLBGAME-25JUL30TORBAL-TOR,142,6,1500,no,delta
1753876814756,KXMLBGAME-25JUL30BOSMIN-BOS,143,3,750,yes,delta
1753876814806,KXMLBGAME-25JUL30LADCIN-LAD,144,2,300,no,delta
1753876814810,KXMLBGAME-25JUL30TORBAL-TOR,145,2,-750,yes,delta
1753876814880,KXMLBGAME-25JUL30BOSMIN-MIN,146,5,1500,no,delta
1753876814892,KXMLBGAME-25JUL30ARIDET-DET,147,2,1500,no,delta
1753876814908,KXMLBGAME-25JUL30TORBAL-TOR,148,7,750,yes,delta
1753876814980,KXMLBGAME-25JUL30BOSMIN-MIN,149,4,1500,no,delta
1753876814993,KXMLBGAME-25JUL30ARIDET-DET,150,1,3000,no,delta
1753876814993,KXMLBGAME-25JUL30LADCIN-CIN,151,2,300,yes,delta
1753876815011,KXMLBGAME-25JUL30TORBAL-BAL,152,1,-3000,no,delta
1753876815081,KXMLBGAME-25JUL30BOSMIN-MIN,153,5,750,yes,delta
1753876815093,KXMLBGAME-25JUL30ARIDET-DET,154,2,750,yes,delta
1753876815110,KXMLBGAME-25JUL30TORBAL-BAL,155,6,1500,no,delta
1753876815188,KXMLBGAME-25JUL30BOSMIN-BOS,156,4,1500,no,delta
1753876815198,KXMLBGAME-25JUL30ARIDET-DET,157,1,750,yes,delta
1753876815198,KXMLBGAME-25JUL30LADCIN-CIN,158,2,300,no,delta
1753876815220,KXMLBGAME-25JUL30TORBAL-BAL,159,5,1500,no,delta
1753876815292,KXMLBGAME-25JUL30BOSMIN-BOS,160,3,1500,no,delta
1753876815298,KXMLBGAME-25JUL30ARIDET-ARI,161,2,1500,no,delta
1753876815322,KXMLBGAME-25JUL30TORBAL-BAL,162,1,-750,yes,delta
1753876815402,KXMLBGAME-25JUL30BOSMIN-BOS,163,4,750,yes,delta
1753876815406,KXMLBGAME-25JUL30PHICWS-PHI,164,2,300,yes,delta
1753876815406,KXMLBGAME-25JUL30ARIDET-ARI,165,1,3000,no,delta
1753876815425,KXMLBGAME-25JUL30TORBAL-BAL,166,6,750,yes,delta
1753876815507,KXMLBGAME-25JUL30BOSMIN-MIN,167,1,-3000,no,delta
1753876815532,KXMLBGAME-25JUL30ARIDET-ARI,168,2,750,yes,delta
1753876815533,KXMLBGAME-25JUL30TORBAL-TOR,169,3,-1500,no,delta
1753876815533,KXMLBGAME-25JUL30TORBAL-TOR,170,3,-1500,no,delta
1753876815609,KXMLBGAME-25JUL30BOSMIN-MIN,171,6,1500,no,delta
1753876815616,KXMLBGAME-25JUL30PHICWS-PHI,172,2,300,no,delta
1753876815629,KXMLBGAME-25JUL30TORBAL-TOR,173,8,1500,no,delta
1753876815634,KXMLBGAME-25JUL30ARIDET-ARI,174,1,750,yes,delta
1753876815710,KXMLBGAME-25JUL30BOSMIN-MIN,175,5,1500,no,delta
1753876815734,KXMLBGAME-25JUL30TORBAL-TOR,176,7,1500,no,delta
