client_ts,market_ticker,seq,price,delta,side,msg_type
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,1,10000,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,2,3300,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,3,700,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,4,200,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,5,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,7,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,14,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,17,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,18,224,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,25,324,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,26,284,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,27,216,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,28,124,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,29,124,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,30,96,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,31,76,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,32,56,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,41,610,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,42,6000,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,43,6291,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,44,6452,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,1,10000,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,2,5300,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,3,700,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,4,200,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,16,100,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,20,100,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,21,238,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,25,100,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,27,100,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,35,324,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,36,314,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,37,216,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,38,124,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,39,124,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,40,96,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,41,76,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,42,56,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,50,3000,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,51,4490,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,52,9000,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,53,17390,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-ARI,1,54,5047,no,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,1,1000,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,2,300,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,4,200,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,5,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,7,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,14,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,17,100,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,18,286,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,50,2000,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,51,2500,yes,snapshot
1753708935264,KXMLBGAME-25JUL28ARIDET-DET,2,52,7500,yes,snapshot
