client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1754232794894,1754232794,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,894,yes
1754232811379,1754232811,KXMLBGAME-25AUG03TEXSEA-SEA,44,56,54,yes
1754232817318,1754232817,KXMLBGAME-25AUG03SFNYM-NYM,60,40,322,yes
1754232838208,1754232838,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,8,yes
1754232844454,1754232844,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,35,yes
1754232845068,1754232844,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,591,yes
1754232845068,1754232844,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,458,yes
1754232846968,1754232846,KXMLBGAME-25AUG03BALCHC-CHC,62,38,198,yes
1754232848368,1754232848,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,17,yes
1754232851465,1754232851,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,37,yes
1754232874663,1754232874,KXMLBGAME-25AUG03TEXSEA-SEA,44,56,2,yes
1754232889147,1754232889,KXMLBGAME-25AUG03MINCLE-CLE,61,39,15,yes
1754232889612,1754232889,KXMLBGAME-25AUG03TEXSEA-SEA,44,56,5,yes
1754232899341,1754232899,KXMLBGAME-25AUG03SFNYM-SF,41,59,23,yes
1754232910074,1754232910,KXMLBGAME-25AUG03SFNYM-NYM,60,40,81,yes
1754232912140,1754232912,KXMLBGAME-25AUG03SFNYM-NYM,60,40,81,yes
1754232914791,1754232914,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,88,yes
1754232928114,1754232928,KXMLBGAME-25AUG03BALCHC-CHC,62,38,102,yes
1754232965162,1754232965,KXMLBGAME-25AUG03MINCLE-CLE,61,39,23,yes
1754232977676,1754232977,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,10,yes
1754233009911,1754233009,KXMLBGAME-25AUG03NYYMIA-NYY,52,48,74,yes
1754233023550,1754233023,KXMLBGAME-25AUG03HOUBOS-BOS,47,53,30,yes
1754233030974,1754233030,KXMLBGAME-25AUG03BALCHC-CHC,62,38,329,yes
1754233071642,1754233071,KXMLBGAME-25AUG03NYYMIA-MIA,49,51,126,yes
1754233074123,1754233074,KXMLBGAME-25AUG03LADTB-LAD,60,40,16,yes
1754233075125,1754233074,KXMLBGAME-25AUG03MILWSH-MIL,61,39,33,yes
1754233076717,1754233076,KXMLBGAME-25AUG03LADTB-LAD,60,40,324,yes
1754233087774,1754233087,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,41,yes
1754233107021,1754233106,KXMLBGAME-25AUG03HOUBOS-HOU,55,45,102,yes
1754233115552,1754233115,KXMLBGAME-25AUG03LADTB-TB,41,59,49,yes
1754233119471,1754233119,KXMLBGAME-25AUG03BALCHC-CHC,62,38,7,yes
1754233124210,1754233124,KXMLBGAME-25AUG03HOUBOS-BOS,46,54,773,yes
1754233124210,1754233124,KXMLBGAME-25AUG03HOUBOS-BOS,47,53,1253,yes
1754233124755,1754233124,KXMLBGAME-25AUG03MILWSH-MIL,61,39,319,yes
