client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753793662395,1753793662,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,99,yes
1753793665671,1753793665,KXMLBGAME-25JUL29ARIDET-ARI,44,56,21,yes
1753793676935,1753793676,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,20,yes
1753793681016,1753793680,KXMLBGAME-25JUL29ARIDET-ARI,44,56,6,yes
1753793681042,1753793681,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,20,yes
1753793691878,1753793691,KXMLBGAME-25JUL29PITSF-PIT,40,60,1,yes
1753793713800,1753793713,KXMLBGAME-25JUL29TEXLAA-LAA,54,46,5,yes
1753793730623,1753793730,KXMLBGAME-25JUL29TORBALG1-BAL,55,45,17,yes
1753793732803,1753793732,KXMLBGAME-25JUL29SEAATH-ATH,50,50,9,yes
1753793761826,1753793761,KXMLBGAME-25JUL29CHCMIL-MIL,52,48,33,yes
1753793767253,1753793767,KXMLBGAME-25JUL29TORBALG1-BAL,55,45,191,yes
1753793767299,1753793767,KXMLBGAME-25JUL29TORBALG1-BAL,55,45,293,yes
1753793807708,1753793807,KXMLBGAME-25JUL29TBNYY-NYY,64,36,344,yes
1753793807708,1753793807,KXMLBGAME-25JUL29TBNYY-NYY,64,36,317,yes
1753793807708,1753793807,KXMLBGAME-25JUL29TBNYY-NYY,64,36,1517,yes
1753793807708,1753793807,KXMLBGAME-25JUL29TBNYY-NYY,64,36,108,yes
1753793859389,1753793859,KXMLBGAME-25JUL29TBNYY-TB,37,63,80,no
1753793886732,1753793886,KXMLBGAME-25JUL29SEAATH-SEA,52,48,178,yes
1753793902486,1753793902,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,10,yes
1753793935590,1753793935,KXMLBGAME-25JUL29ATLKC-KC,54,46,3,yes
1753793942145,1753793942,KXMLBGAME-25JUL29COLCLE-COL,36,64,5,yes
1753793980795,1753793980,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,6,yes
1753794065720,1753794065,KXMLBGAME-25JUL29NYMSD-NYM,54,46,5,yes
1753794102008,1753794101,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,63,yes
1753794121445,1753794121,KXMLBGAME-25JUL29PITSF-PIT,39,61,49,yes
1753794152680,1753794152,KXMLBGAME-25JUL29BOSMIN-BOS,53,47,5,yes
1753794153791,1753794153,KXMLBGAME-25JUL29TORBALG1-TOR,47,53,180,yes
