client_ts,market_ticker,seq,price,delta,side,msg_type
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,1,152961,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,2,13330,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,3,9947,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,4,411,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,5,1671,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,6,584,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,7,1457,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,8,520,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,9,487,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,10,1444,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,11,2700,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,12,370,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,13,300,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,14,10100,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,16,153,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,17,100,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,18,30000,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,20,55,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,24,1,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,28,1500,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,29,3690,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,30,17500,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,31,8323,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,32,12438,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,1,149358,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,2,25678,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,3,24053,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,4,8940,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,5,888,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,6,6934,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,7,7825,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,8,500,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,10,1198,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,11,4125,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,12,1359,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,13,1292,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,14,673,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,15,798,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,16,636,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,17,516,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,18,530,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,19,477,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,20,559,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,21,446,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,22,433,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,23,9,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,25,100,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,27,100,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,28,338,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,29,213,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,31,300,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,35,62,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,36,145,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,37,40000,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,46,65,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,56,1,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,62,2562,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,63,5062,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,64,9624,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,65,24662,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-ATH,1,66,13765,no,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,1,149358,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,2,25678,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,3,24053,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,4,8940,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,5,998,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,6,6934,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,7,7925,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,10,1198,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,11,4125,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,12,1359,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,13,1292,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,14,1073,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,15,798,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,16,536,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,17,616,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,18,530,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,19,477,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,20,459,yes,snapshot
1753214046224,KXMLBGAME-25JUL22ATHTEX-TEX,2,21,446,yes,snapshot
