client_ts,market_ticker,seq,price,delta,side,msg_type
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,1,1000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,2,300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,4,200,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,5,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,7,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,11,2700,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,14,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,16,300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,17,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,20,202,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,21,40000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,42,1595,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,43,16000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,44,11784,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,45,329,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,46,44,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,1,5000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,2,300,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,4,200,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,11,2700,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,16,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,20,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,22,234,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,25,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,27,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,28,40000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,32,300,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,35,10,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,36,56,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,49,3000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,50,3500,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,51,9000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,52,19240,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-ATH,1,53,18492,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,1,10000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,2,3300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,3,700,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,4,200,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,5,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,7,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,11,2700,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,14,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,17,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,20,256,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,21,10000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,33,300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,35,258,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,36,213,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,37,205,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,38,192,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,39,192,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,40,105,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,41,30040,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,42,40,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,50,2000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,51,7500,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,52,17740,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,53,8670,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,54,4952,yes,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,1,10000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,2,3300,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,3,2033,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,4,200,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,11,2700,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,16,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,17,239,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,20,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,25,10100,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,26,558,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,27,326,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,28,213,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,29,205,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,30,192,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,31,105,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,32,30061,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,33,40,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,35,10,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,36,56,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,41,3000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,42,4595,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,43,19000,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,44,14784,no,snapshot
1753368079980,KXMLBGAME-25JUL24ATHHOU-HOU,2,45,4157,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,1,1000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,2,300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,4,200,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,5,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,7,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,11,2700,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,13,300,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,14,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,17,100,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,18,230,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,19,40000,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,42,861,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,43,861,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,44,18755,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,45,10640,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,46,8917,yes,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,1,1000,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,2,2300,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,4,200,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,11,2700,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,16,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,20,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,21,240,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,25,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,27,100,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,28,40000,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,32,300,no,snapshot
1753368079980,KXMLBGAME-25JUL24BALCLE-BAL,3,35,10,no,snapshot
