client_ts,market_ticker,seq,price,delta,side,msg_type
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,1,1000,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,2,300,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,4,200,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,5,100,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,7,100,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,11,2700,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,13,300,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,14,100,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,17,100,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,18,229,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,19,40000,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,39,1500,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,40,1812,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,41,17500,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,42,10649,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,43,6891,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,44,3500,yes,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,1,5000,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,2,300,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,4,200,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,11,2700,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,16,100,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,20,100,no,snapshot
1753279026811,KXMLBGAME-25JUL23ATHTEX-ATH,1,23,300,no,snapshot
