client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753876895151,1753876895,KXMLBGAME-25JUL30COLCLE-CLE,64,36,10,yes
1753876952108,1753876952,KXMLBGAME-25JUL30PITSF-PIT,35,65,13,yes
1753876969517,1753876969,KXMLBGAME-25JUL30TORBAL-BAL,51,49,47,yes
1753876981600,1753876981,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,10,yes
1753877011399,1753877011,KXMLBGAME-25JUL30TORBAL-TOR,50,50,11,yes
1753877052692,1753877052,KXMLBGAME-25JUL30TORBAL-BAL,52,48,9,yes
1753877053895,1753877053,KXMLBGAME-25JUL30ARIDET-DET,56,44,43,yes
1753877062899,1753877062,KXMLBGAME-25JUL30SEAATH-ATH,44,56,10,yes
1753877067974,1753877067,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,52,yes
1753877079003,1753877078,KXMLBGAME-25JUL30NYMSD-SD,49,51,9,yes
1753877081544,1753877081,KXMLBGAME-25JUL30ATLKC-KC,55,45,44,yes
1753877099771,1753877099,KXMLBGAME-25JUL30PHICWS-PHI,57,43,42,yes
1753877118109,1753877118,KXMLBGAME-25JUL30CHCMIL-CHC,49,51,49,yes
1753877134031,1753877133,KXMLBGAME-25JUL30TBNYY-NYY,57,43,4,yes
1753877141292,1753877141,KXMLBGAME-25JUL30ATLKC-KC,55,45,317,yes
1753877142960,1753877142,KXMLBGAME-25JUL30ATLKC-ATL,46,54,75,no
1753877148559,1753877148,KXMLBGAME-25JUL30NYMSD-SD,49,51,49,yes
1753877156603,1753877156,KXMLBGAME-25JUL30COLCLE-CLE,64,36,274,yes
1753877156772,1753877156,KXMLBGAME-25JUL30ARIDET-DET,56,44,8,yes
1753877167048,1753877166,KXMLBGAME-25JUL30COLCLE-COL,37,63,25,yes
1753877168378,1753877168,KXMLBGAME-25JUL30TORBAL-TOR,50,50,1,yes
1753877180257,1753877180,KXMLBGAME-25JUL30TBNYY-TB,45,55,32,yes
1753877192546,1753877192,KXMLBGAME-25JUL30LADCIN-LAD,60,40,32,yes
1753877194901,1753877194,KXMLBGAME-25JUL30TORBAL-TOR,50,50,20,yes
1753877210159,1753877210,KXMLBGAME-25JUL30TORBAL-TOR,50,50,2,yes
1753877221525,1753877221,KXMLBGAME-25JUL30TEXLAA-LAA,46,54,20,yes
1753877230331,1753877230,KXMLBGAME-25JUL30TEXLAA-TEX,56,44,88,yes
1753877232012,1753877231,KXMLBGAME-25JUL30SEAATH-SEA,57,43,15,yes
1753877232013,1753877231,KXMLBGAME-25JUL30SEAATH-SEA,58,42,27,yes
1753877232195,1753877232,KXMLBGAME-25JUL30ARIDET-DET,56,44,10,yes
1753877242123,1753877242,KXMLBGAME-25JUL30SEAATH-SEA,58,42,83,yes
1753877246515,1753877246,KXMLBGAME-25JUL30MIASTL-MIA,43,57,33,yes
1753877251528,1753877251,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,11,yes
1753877269141,1753877269,KXMLBGAME-25JUL30TORBAL-BAL,52,48,9,yes
1753877272245,1753877272,KXMLBGAME-25JUL30PITSF-PIT,35,65,40,yes
1753877274876,1753877274,KXMLBGAME-25JUL30COLCLE-COL,37,63,13,yes
1753877284036,1753877284,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,20,yes
1753877290855,1753877290,KXMLBGAME-25JUL30LADCIN-LAD,60,40,25,yes
1753877320731,1753877320,KXMLBGAME-25JUL30SEAATH-SEA,57,43,9,yes
1753877336071,1753877336,KXMLBGAME-25JUL30TEXLAA-TEX,56,44,9,yes
1753877356098,1753877356,KXMLBGAME-25JUL30ATLKC-KC,55,45,9,yes
1753877364622,1753877364,KXMLBGAME-25JUL30TORBAL-BAL,51,49,37,yes
1753877370996,1753877370,KXMLBGAME-25JUL30COLCLE-COL,37,63,15,yes
1753877373089,1753877373,KXMLBGAME-25JUL30MIASTL-MIA,43,57,12,yes
1753877373635,1753877373,KXMLBGAME-25JUL30ARIDET-DET,56,44,34,yes
1753877375733,1753877375,KXMLBGAME-25JUL30TORBAL-TOR,49,51,98,yes
1753877375733,1753877375,KXMLBGAME-25JUL30TORBAL-TOR,50,50,91,yes
1753877376501,1753877376,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,9,yes
1753877384689,1753877384,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,50,yes
1753877396539,1753877396,KXMLBGAME-25JUL30TBNYY-TB,45,55,11,yes
1753877408541,1753877408,KXMLBGAME-25JUL30MIASTL-MIA,43,57,17,yes
1753877409959,1753877409,KXMLBGAME-25JUL30WSHHOU-WSH,48,52,26,yes
1753877409959,1753877409,KXMLBGAME-25JUL30WSHHOU-WSH,49,51,15,yes
1753877410593,1753877410,KXMLBGAME-25JUL30WSHHOU-HOU,53,47,10,yes
1753877438309,1753877438,KXMLBGAME-25JUL30PHICWS-CWS,45,55,11,yes
1753877455995,1753877455,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,36,yes
1753877468617,1753877468,KXMLBGAME-25JUL30PITSF-PIT,35,65,14,yes
1753877483261,1753877483,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,10,yes
1753877504765,1753877504,KXMLBGAME-25JUL30NYMSD-SD,49,51,10,yes
1753877567127,1753877567,KXMLBGAME-25JUL30ATLKC-KC,55,45,35,yes
1753877573373,1753877573,KXMLBGAME-25JUL30ARIDET-DET,56,44,71,yes
1753877591181,1753877591,KXMLBGAME-25JUL30TORBAL-TOR,50,50,21,yes
1753877600509,1753877600,KXMLBGAME-25JUL30TORBAL-TOR,50,50,759,yes
1753877608207,1753877608,KXMLBGAME-25JUL30PITSF-PIT,35,65,54,yes
1753877624118,1753877624,KXMLBGAME-25JUL30CHCMIL-CHC,49,51,29,yes
1753877627995,1753877627,KXMLBGAME-25JUL30NYMSD-SD,49,51,41,yes
1753877661239,1753877661,KXMLBGAME-25JUL30ARIDET-DET,56,44,5,yes
1753877672621,1753877672,KXMLBGAME-25JUL30TBNYY-TB,45,55,106,yes
1753877737811,1753877737,KXMLBGAME-25JUL30COLCLE-COL,37,63,12,yes
1753877749675,1753877749,KXMLBGAME-25JUL30TBNYY-TB,45,55,85,yes
1753877772798,1753877772,KXMLBGAME-25JUL30TEXLAA-TEX,56,44,1,yes
1753877778789,1753877778,KXMLBGAME-25JUL30TORBAL-BAL,51,49,18,yes
1753877793739,1753877793,KXMLBGAME-25JUL30ARIDET-DET,56,44,8,yes
1753877809810,1753877809,KXMLBGAME-25JUL30CHCMIL-CHC,49,51,92,yes
1753877811967,1753877811,KXMLBGAME-25JUL30TEXLAA-LAA,46,54,10,yes
1753877818418,1753877818,KXMLBGAME-25JUL30ARIDET-DET,56,44,221,yes
1753877818418,1753877818,KXMLBGAME-25JUL30ARIDET-DET,57,43,89,yes
1753877827688,1753877827,KXMLBGAME-25JUL30COLCLE-CLE,64,36,1,yes
1753877841663,1753877841,KXMLBGAME-25JUL30TORBAL-TOR,50,50,9,yes
1753877910515,1753877910,KXMLBGAME-25JUL30NYMSD-NYM,52,48,9,yes
1753877939645,1753877939,KXMLBGAME-25JUL30TORBAL-BAL,51,49,9,yes
1753877950207,1753877950,KXMLBGAME-25JUL30ARIDET-DET,56,44,216,yes
1753877960652,1753877960,KXMLBGAME-25JUL30TORBAL-TOR,49,51,98,yes
1753877993830,1753877993,KXMLBGAME-25JUL30TORBAL-BAL,51,49,41,yes
1753877993830,1753877993,KXMLBGAME-25JUL30TORBAL-BAL,51,49,4,yes
1753878006550,1753878006,KXMLBGAME-25JUL30TORBAL-BAL,51,49,189,yes
1753878056978,1753878056,KXMLBGAME-25JUL30ARIDET-DET,56,44,50,yes
1753878058445,1753878058,KXMLBGAME-25JUL30ARIDET-DET,56,44,32,yes
1753878064282,1753878064,KXMLBGAME-25JUL30PITSF-SF,66,34,139,yes
1753878080256,1753878080,KXMLBGAME-25JUL30BOSMIN-MIN,55,45,49,yes
1753878100122,1753878100,KXMLBGAME-25JUL30CHCMIL-CHC,49,51,218,yes
1753878106266,1753878106,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,47,yes
1753878120705,1753878120,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,62,yes
1753878300173,1753878300,KXMLBGAME-25JUL30TORBAL-BAL,51,49,9,yes
1753878312239,1753878312,KXMLBGAME-25JUL30ARIDET-ARI,45,55,400,yes
1753878358790,1753878358,KXMLBGAME-25JUL30ARIDET-DET,56,44,8,yes
1753878374249,1753878374,KXMLBGAME-25JUL30LADCIN-CIN,42,58,9,yes
1753878513554,1753878513,KXMLBGAME-25JUL30ARIDET-ARI,45,55,25,yes
1753878515995,1753878515,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,175,yes
1753878529283,1753878529,KXMLBGAME-25JUL30TORBAL-BAL,51,49,3,yes
1753878529283,1753878529,KXMLBGAME-25JUL30TORBAL-BAL,51,49,15,yes
1753878552426,1753878552,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,10,yes
1753878597380,1753878597,KXMLBGAME-25JUL30ARIDET-DET,56,44,13,yes
1753878640183,1753878640,KXMLBGAME-25JUL30BOSMIN-MIN,54,46,2,no
1753878640195,1753878640,KXMLBGAME-25JUL30BOSMIN-BOS,46,54,2,yes
1753878653928,1753878653,KXMLBGAME-25JUL30CHCMIL-CHC,49,51,9,yes
1753878670187,1753878670,KXMLBGAME-25JUL30PHICWS-PHI,56,44,51,yes
1753878685443,1753878685,KXMLBGAME-25JUL30NYMSD-NYM,52,48,991,yes
1753878685443,1753878685,KXMLBGAME-25JUL30NYMSD-NYM,52,48,2500,yes
1753878685443,1753878685,KXMLBGAME-25JUL30NYMSD-NYM,52,48,1500,yes
1753878685443,1753878685,KXMLBGAME-25JUL30NYMSD-NYM,52,48,521,yes
1753878685443,1753878685,KXMLBGAME-25JUL30NYMSD-NYM,52,48,1930,yes
1753878692237,1753878692,KXMLBGAME-25JUL30PHICWS-CWS,44,56,518,no
1753878692237,1753878692,KXMLBGAME-25JUL30PHICWS-PHI,56,44,18,yes
1753878693434,1753878693,KXMLBGAME-25JUL30NYMSD-NYM,51,49,300,no
1753878693434,1753878693,KXMLBGAME-25JUL30NYMSD-NYM,50,50,1500,no
1753878693440,1753878693,KXMLBGAME-25JUL30NYMSD-SD,49,51,300,yes
1753878693636,1753878693,KXMLBGAME-25JUL30TBNYY-TB,44,56,300,no
1753878694457,1753878694,KXMLBGAME-25JUL30SEAATH-ATH,43,57,33,no
1753878694457,1753878694,KXMLBGAME-25JUL30SEAATH-SEA,57,43,195,yes
1753878731620,1753878731,KXMLBGAME-25JUL30ARIDET-ARI,45,55,21,yes
1753878740228,1753878740,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,9,yes
1753878787800,1753878787,KXMLBGAME-25JUL30BOSMIN-BOS,47,53,20,yes
1753878860037,1753878859,KXMLBGAME-25JUL30BOSMIN-BOS,47,53,1425,yes
1753878875851,1753878875,KXMLBGAME-25JUL30TORBAL-BAL,51,49,47,yes
1753878902181,1753878902,KXMLBGAME-25JUL30PHICWS-PHI,56,44,40,yes
1753878911033,1753878910,KXMLBGAME-25JUL30CHCMIL-MIL,53,47,367,yes
1753878941566,1753878941,KXMLBGAME-25JUL30BOSMIN-MIN,54,46,21,yes
1753878956681,1753878956,KXMLBGAME-25JUL30MIASTL-MIA,44,56,30,yes
1753878969258,1753878969,KXMLBGAME-25JUL30ARIDET-DET,56,44,51,yes
1753878991718,1753878991,KXMLBGAME-25JUL30SEAATH-ATH,43,57,23,yes
1753879041201,1753879041,KXMLBGAME-25JUL30BOSMIN-BOS,47,53,24,yes
1753879057362,1753879057,KXMLBGAME-25JUL30BOSMIN-BOS,47,53,20,yes
1753879069542,1753879069,KXMLBGAME-25JUL30PITSF-PIT,35,65,8,yes
1753879076490,1753879076,KXMLBGAME-25JUL30TORBAL-TOR,50,50,15,yes
1753879114503,1753879114,KXMLBGAME-25JUL30TORBAL-TOR,50,50,40,yes
