client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1753214151352,1753214151,KXMLBGAME-25JUL22LAANYM-NYM,61,39,2,yes
1753214152769,1753214152,KXMLBGAME-25JUL22SDMIA-SD,45,55,820,yes
1753214152769,1753214152,KXMLBGAME-25JUL22SDMIA-SD,45,55,1000,yes
1753214152769,1753214152,KXMLBGAME-25JUL22SDMIA-SD,45,55,379,yes
1753214152769,1753214152,KXMLBGAME-25JUL22SDMIA-SD,45,55,4397,yes
1753214160430,1753214160,KXMLBGAME-25JUL22KCCHC-KC,32,68,29,yes
1753214163610,1753214163,KXMLBGAME-25JUL22STLCOL-STL,60,40,162,yes
1753214173150,1753214173,KXMLBGAME-25JUL22BALCLE-CLE,60,40,63,yes
1753214175109,1753214175,KXMLBGAME-25JUL22SDMIA-SD,45,55,47,yes
1753214185582,1753214185,KXMLBGAME-25JUL22CWSTB-TB,67,33,145,yes
1753214198209,1753214198,KXMLBGAME-25JUL22SDMIA-MIA,55,45,68,yes
1753214201809,1753214201,KXMLBGAME-25JUL22HOUARI-HOU,53,47,12,yes
1753214209029,1753214208,KXMLBGAME-25JUL22MINLAD-LAD,68,32,100,yes
1753214229989,1753214229,KXMLBGAME-25JUL22DETPIT-DET,55,45,353,yes
1753214243009,1753214242,KXMLBGAME-25JUL22DETPIT-DET,54,46,35,no
1753214246313,1753214246,KXMLBGAME-25JUL22MILSEA-MIL,47,53,10,yes
1753214255549,1753214255,KXMLBGAME-25JUL22MINLAD-LAD,68,32,143,yes
1753214285408,1753214285,KXMLBGAME-25JUL22DETPIT-DET,55,45,37,yes
1753214289207,1753214289,KXMLBGAME-25JUL22SDMIA-MIA,55,45,640,yes
1753214299449,1753214299,KXMLBGAME-25JUL22MILSEA-MIL,47,53,20,yes
1753214314729,1753214314,KXMLBGAME-25JUL22BALCLE-BAL,41,59,117,yes
1753214349265,1753214349,KXMLBGAME-25JUL22SDMIA-MIA,55,45,279,yes
1753214349348,1753214349,KXMLBGAME-25JUL22CWSTB-CWS,34,66,50,yes
1753214351487,1753214351,KXMLBGAME-25JUL22BALCLE-CLE,60,40,1,yes
1753214418931,1753214418,KXMLBGAME-25JUL22LAANYM-NYM,61,39,31,yes
1753214419089,1753214419,KXMLBGAME-25JUL22HOUARI-HOU,53,47,40,yes
1753214443708,1753214443,KXMLBGAME-25JUL22SFATL-ATL,53,47,36,yes
1753214449528,1753214449,KXMLBGAME-25JUL22BOSPHI-PHI,66,34,100,yes
1753214459706,1753214459,KXMLBGAME-25JUL22MILSEA-MIL,47,53,77,yes
1753214493829,1753214493,KXMLBGAME-25JUL22SDMIA-SD,44,56,37,yes
1753214508749,1753214508,KXMLBGAME-25JUL22HOUARI-HOU,53,47,36,yes
1753214530087,1753214530,KXMLBGAME-25JUL22MILSEA-MIL,47,53,102,yes
1753214538606,1753214538,KXMLBGAME-25JUL22LAANYM-LAA,40,60,182,yes
1753214563068,1753214563,KXMLBGAME-25JUL22KCCHC-CHC,69,31,100,yes
1753214576609,1753214576,KXMLBGAME-25JUL22CINWSH-CIN,57,43,76,yes
1753214585088,1753214585,KXMLBGAME-25JUL22STLCOL-STL,60,40,81,yes
1753214591706,1753214591,KXMLBGAME-25JUL22CINWSH-CIN,57,43,81,yes
1753214596807,1753214596,KXMLBGAME-25JUL22SFATL-SF,48,52,73,yes
1753214621109,1753214621,KXMLBGAME-25JUL22NYYTOR-NYY,48,52,63,yes
1753214621109,1753214621,KXMLBGAME-25JUL22NYYTOR-NYY,48,52,129,yes
1753214625468,1753214625,KXMLBGAME-25JUL22HOUARI-HOU,53,47,100,yes
1753214637791,1753214637,KXMLBGAME-25JUL22STLCOL-STL,60,40,3,yes
1753214653107,1753214652,KXMLBGAME-25JUL22LAANYM-LAA,40,60,86,yes
1753214661028,1753214660,KXMLBGAME-25JUL22BALCLE-BAL,41,59,440,yes
1753214666908,1753214666,KXMLBGAME-25JUL22CINWSH-CIN,57,43,17,yes
1753214673626,1753214673,KXMLBGAME-25JUL22SDMIA-SD,45,55,53,yes
1753214682831,1753214682,KXMLBGAME-25JUL22SFATL-SF,48,52,4,yes
1753214687547,1753214687,KXMLBGAME-25JUL22HOUARI-HOU,53,47,91,yes
1753214709508,1753214709,KXMLBGAME-25JUL22CINWSH-WSH,44,56,2,yes
1753214729506,1753214729,KXMLBGAME-25JUL22BOSPHI-BOS,35,65,13,yes
1753214767007,1753214766,KXMLBGAME-25JUL22LAANYM-LAA,40,60,47,yes
1753214798043,1753214797,KXMLBGAME-25JUL22BALCLE-BAL,41,59,23,yes
1753214805109,1753214804,KXMLBGAME-25JUL22BALCLE-CLE,60,40,32,yes
1753214807448,1753214807,KXMLBGAME-25JUL22DETPIT-PIT,45,55,31,no
1753214825449,1753214825,KXMLBGAME-25JUL22SDMIA-SD,45,55,10,yes
1753214837787,1753214837,KXMLBGAME-25JUL22DETPIT-DET,55,45,26,yes
1753214845467,1753214845,KXMLBGAME-25JUL22MINLAD-LAD,68,32,4,yes
