client_ts,server_ts,market_ticker,yes_price,no_price,count,taker_side
1754579088480,1754579088,KXMLBGAME-25AUG07CWSSEA-SEA,73,27,73,yes
1754579116783,1754579116,KXMLBGAME-25AUG07MIAATL-MIA,53,47,54,yes
1754579137711,1754579137,KXMLBGAME-25AUG07ATHWSH-ATH,59,41,164,yes
1754579192493,1754579192,KXMLBGAME-25AUG07CINPIT-PIT,62,38,46,yes
1754579231040,1754579230,KXMLBGAME-25AUG07ATHWSH-ATH,60,40,16,yes
1754579240563,1754579240,KXMLBGAME-25AUG07ATHWSH-ATH,60,40,16,yes
1754579267004,1754579266,KXMLBGAME-25AUG07ATHWSH-ATH,60,40,16,yes
1754579289519,1754579289,KXMLBGAME-25AUG07MIAATL-ATL,48,52,40,yes
1754579311936,1754579311,KXMLBGAME-25AUG07MIAATL-ATL,48,52,40,yes
1754579317261,1754579316,KXMLBGAME-25AUG07CWSSEA-CWS,28,72,21,no
1754579319207,1754579319,KXMLBGAME-25AUG07MIAATL-MIA,53,47,54,yes
1754579320436,1754579320,KXMLBGAME-25AUG07CWSSEA-SEA,73,27,5,yes
1754579330880,1754579330,KXMLBGAME-25AUG07CWSSEA-CWS,28,72,500,no
1754579335173,1754579335,KXMLBGAME-25AUG07ATHWSH-WSH,41,59,45,yes
1754579348561,1754579348,KXMLBGAME-25AUG07MIAATL-ATL,48,52,2,yes
1754579452678,1754579452,KXMLBGAME-25AUG07ATHWSH-ATH,60,40,48,yes
1754579466970,1754579466,KXMLBGAME-25AUG07ATHWSH-ATH,60,40,162,yes
1754579519298,1754579519,KXMLBGAME-25AUG07CWSSEA-SEA,73,27,168,yes
1754579543081,1754579543,KXMLBGAME-25AUG07CINPIT-CIN,40,60,23,yes
1754579568690,1754579568,KXMLBGAME-25AUG07ATHWSH-WSH,41,59,71,yes
1754579573656,1754579573,KXMLBGAME-25AUG07CWSSEA-SEA,73,27,53,yes
1754579574081,1754579573,KXMLBGAME-25AUG07MIAATL-ATL,48,52,10,yes
